ID_DIRECCION,CALLE,NUMERO_CASA,OTRAS_SENAS,ID_PAIS,ID_PROVINCIA,ID_CANTON,ID_DISTRITO,ID_ESTADO
1,Ohio,905,Terrace,1,7,59,461,1
2,Jenifer,48,Street,1,1,57,438,2
3,Rockefeller,60134,Parkway,1,1,16,1,2
4,Rusk,360,Road,1,3,55,477,2
5,Dexter,4,Way,1,6,24,342,1
6,Moose,59239,Alley,1,1,16,52,1
7,Northport,8,Terrace,1,6,75,201,1
8,Sundown,543,Way,1,2,7,328,1
9,Glendale,045,Park,1,3,66,408,2
10,Nevada,72,Avenue,1,7,23,260,1
11,Loeprich,4327,Street,1,2,23,25,1
12,Alpine,8125,Junction,1,7,45,358,1
13,Katie,41240,Place,1,5,24,34,1
14,Hallows,26,Alley,1,4,18,459,1
15,Miller,97748,Place,1,5,29,312,2
16,Vermont,76,Parkway,1,2,64,383,1
17,Melby,00525,Plaza,1,5,4,450,1
18,Summit,10458,Drive,1,6,51,247,2
19,American,21,Circle,1,5,41,444,2
20,Monument,91916,Way,1,2,68,374,1
21,Esch,8,Trail,1,4,78,19,2
22,Roth,49,Avenue,1,1,82,246,2
23,Butternut,361,Place,1,5,22,246,1
24,Lillian,4994,Place,1,2,35,430,2
25,Prairieview,0508,Parkway,1,1,18,51,2
26,Sunbrook,665,Street,1,3,73,77,1
27,Ridgeway,39,Lane,1,3,42,423,1
28,Daystar,4,Plaza,1,4,4,260,1
29,Maple Wood,1576,Center,1,7,40,220,1
30,Eagle Crest,49035,Lane,1,5,67,413,2
31,Pepper Wood,91086,Parkway,1,7,70,311,2
32,Browning,00,Lane,1,7,31,106,2
33,West,87,Way,1,3,5,218,2
34,Dryden,178,Drive,1,7,37,474,1
35,Jackson,3787,Avenue,1,5,66,328,1
36,Old Gate,01,Plaza,1,2,7,346,1
37,Declaration,842,Road,1,3,28,385,1
38,Darwin,70573,Crossing,1,3,11,366,2
39,Charing Cross,68762,Alley,1,3,17,314,2
40,Waywood,692,Lane,1,7,83,474,1
41,1st,02217,Way,1,6,15,73,1
42,Express,7,Street,1,1,83,145,1
43,Buhler,8,Circle,1,7,78,234,1
44,7th,5973,Alley,1,2,25,83,1
45,Roxbury,005,Circle,1,1,9,472,2
46,Norway Maple,36341,Road,1,5,77,96,1
47,Bluejay,3649,Terrace,1,7,11,339,2
48,Hagan,1,Circle,1,5,53,319,1
