ID_HORARIO_MATRICULADO,FECHA_MATRICULA,ID_USUARIO,ID_CURSO,ID_HORARIO,ID_ESTADO
1,20/06/2025,980,969,310,2
2,01/07/2025,722,269,396,2
3,06/05/2025,566,536,297,1
4,19/09/2025,757,105,181,2
5,27/05/2025,154,983,613,1
6,24/05/2025,125,205,106,2
7,29/06/2025,457,553,305,2
8,24/04/2025,274,750,147,2
9,02/08/2025,6,306,155,1
10,14/07/2025,576,158,94,2
11,19/02/2025,14,939,320,2
12,18/07/2025,365,697,628,1
13,26/12/2025,227,311,460,2
14,30/04/2025,789,884,985,2
15,07/04/2025,874,653,594,2
16,03/12/2025,913,464,498,2
17,30/04/2025,416,736,2,2
18,17/12/2025,141,147,902,2
19,13/09/2025,930,881,93,2
20,24/06/2025,842,612,998,1
21,24/11/2025,667,974,174,2
22,18/11/2025,446,261,297,1
23,02/11/2025,738,800,447,1
24,15/05/2025,259,548,210,1
25,22/02/2025,546,573,130,2
26,10/02/2025,394,427,145,2
27,21/05/2025,180,804,145,1
28,26/07/2025,936,417,776,2
29,14/10/2025,144,501,436,1
30,06/11/2025,812,315,586,2
31,18/01/2025,284,438,742,2
32,02/12/2025,937,993,322,1
33,08/10/2025,168,697,669,1
34,31/07/2025,502,852,30,1
35,04/12/2025,279,212,62,1
36,11/11/2025,157,944,822,1
37,18/09/2025,110,16,903,1
38,09/05/2025,538,97,895,1
39,09/03/2025,740,168,117,1
40,20/07/2025,146,254,861,1
41,18/12/2025,8,950,520,1
42,15/05/2025,985,14,439,2
43,13/11/2025,609,22,526,1
44,17/01/2025,620,649,762,2
45,22/06/2025,299,743,837,1
46,22/03/2025,368,755,506,1
47,20/09/2025,604,218,73,1
48,15/10/2025,30,890,420,2
49,21/01/2025,592,351,638,1
50,09/02/2025,213,128,250,2
51,23/05/2025,318,561,421,2
52,02/06/2025,889,533,630,2
53,09/08/2025,753,735,454,1
54,09/03/2025,381,77,429,2
55,01/06/2025,135,742,409,1
56,04/08/2025,22,602,6,1
57,25/02/2025,695,131,29,1
58,09/07/2025,246,949,390,2
59,14/04/2025,805,163,603,2
60,06/07/2025,810,127,312,2
61,02/05/2025,965,278,647,2
62,09/10/2025,983,145,555,2
63,06/06/2025,343,511,296,1
64,28/05/2025,774,129,398,2
65,10/01/2025,893,417,996,1
66,24/10/2025,815,383,249,2
67,14/06/2025,262,272,942,1
68,16/03/2025,941,399,818,1
69,08/02/2025,377,100,826,2
70,11/08/2025,534,617,814,1
71,05/07/2025,222,722,387,1
72,23/10/2025,562,689,120,1
73,13/08/2025,180,24,139,2
74,21/04/2025,749,700,30,2
75,03/05/2025,759,930,104,2
76,06/05/2025,763,877,25,2
77,09/12/2025,753,135,315,2
78,13/04/2025,741,714,180,2
79,19/08/2025,640,177,363,2
80,20/03/2025,98,136,391,1
81,06/08/2025,441,130,491,1
82,15/05/2025,779,456,415,2
