ID_CURSO,ID_PLAN_ESTUDIOS,ID_ESTADO
820,100,1
357,78,2
772,51,2
477,69,1
988,126,2
934,126,2
463,143,2
712,141,1
508,22,2
567,142,2
182,71,1
148,121,1
279,36,2
811,67,2
1000,117,2
271,96,2
656,127,1
227,142,2
704,93,1
87,103,2
603,69,2
12,31,2
151,32,1
336,38,1
867,41,1
502,5,2
840,117,2
280,4,1
745,149,2
262,120,1
14,135,1
473,132,1
379,120,1
582,115,2
324,126,1
536,44,2
33,135,1
890,67,2
62,28,1
235,141,2
226,76,2
494,49,1
350,78,2
496,78,1
183,31,1
802,142,2
396,99,2
620,50,1
622,4,1
926,88,1
619,137,1
341,129,2
801,127,2
297,113,2
18,10,2
288,143,2
949,33,1
658,90,1
634,65,2
983,74,2
368,135,1
384,126,2
625,148,2
858,91,1
768,24,1
32,129,1
821,116,2
101,61,1
391,21,2
307,133,1
727,119,2
450,33,2
431,122,1
690,25,2
73,60,1
262,129,2
60,14,1
881,62,1
434,120,2
913,73,2
198,35,1
998,94,1
920,123,2
31,59,1
468,116,1
926,116,2
29,62,2
131,94,1
799,63,2
918,81,2
561,92,2
286,17,1
834,27,2
621,53,1
235,36,1
357,26,2
803,4,2
898,119,1
794,113,2
545,29,2
840,93,1
127,95,1
372,57,2
852,22,2
766,10,2
374,60,1
672,61,2
8,131,2
719,72,2
793,49,1
835,6,2
24,133,1
737,140,2
890,81,1
300,23,1
868,92,1
13,81,1
174,7,1
372,14,2
845,141,2
750,21,1
395,129,1
150,130,2
344,137,2
465,29,2
715,44,1
422,5,1
999,103,1
900,140,1
877,125,2
591,139,2
209,19,1
33,142,2
804,71,1
946,142,2
608,102,1
662,141,1
432,139,2
613,125,1
879,106,2
433,117,2
30,6,1
527,142,1
344,4,2
229,12,1
327,88,1
476,72,2
850,73,1
461,125,1
530,41,1
280,96,2
575,134,2
704,52,1
640,142,1
816,150,1
740,21,2
295,64,2
707,114,1
318,129,1
29,88,1
293,131,2
410,49,2
81,38,1
349,72,2
54,57,1
786,51,1
731,34,2
227,137,2
784,100,2
785,89,2
187,105,1
742,22,1
452,2,1
619,41,2
346,108,1
137,79,2
49,77,1
777,140,2
248,97,2
794,39,2
433,30,2
596,43,1
689,48,2
619,126,1
576,132,2
975,97,2
336,141,1
298,46,1
621,69,2
428,94,1
663,40,2
584,139,2
274,37,2
685,141,1
661,124,2
750,98,2
227,43,1
922,130,1
920,22,2
117,6,2
268,36,1
275,96,2
585,26,1
640,87,1
762,10,1
884,50,2
114,20,1
174,81,2
103,133,2
474,148,2
985,41,1
487,74,1
663,113,2
711,35,2
79,6,1
67,101,2
767,75,2
702,66,2
331,6,1
205,117,1
485,136,2
768,128,1
828,103,1
387,64,2
236,45,1
360,100,1
780,100,2
752,20,1
538,51,1
36,86,2
822,74,1
813,117,2
223,28,2
381,12,1
805,129,1
227,89,2
83,56,2
702,111,2
709,107,2
538,21,1
72,109,1
418,118,1
109,108,2
198,51,2
544,146,1
385,87,2
315,88,2
484,56,1
223,146,1
92,25,2
768,32,1
904,120,1
842,103,1
169,22,2
904,12,2
702,29,2
569,25,1
141,17,2
298,33,1
401,131,1
596,70,2
987,125,2
865,68,1
13,95,1
88,36,1
604,146,1
577,23,1
229,42,2
40,130,1
935,36,1
797,93,2
525,69,2
865,146,2
73,145,2
904,1,2
851,42,1
102,77,1
174,125,2
274,40,1
839,50,1
498,75,2
690,114,1
239,95,1
246,27,2
378,67,1
360,62,1
575,69,1
920,89,2
360,79,2
265,115,2
467,141,1
315,90,2
504,64,1
708,98,2
658,84,1
566,131,1
372,84,1
604,146,1
347,87,2
811,35,1
270,100,1
91,2,2
298,71,1
680,90,2
403,77,1
14,26,1
160,35,1
962,112,2
730,47,2
322,16,1
925,34,1
218,22,2
321,95,2
12,71,2
364,25,2
212,66,2
878,101,1
264,20,2
408,80,2
464,20,1
163,141,2
932,41,2
269,137,2
189,62,2
556,48,1
318,147,2
807,29,2
766,117,1
458,132,1
335,22,2
990,42,2
784,44,1
628,144,1
175,147,2
79,57,1
765,47,1
391,26,1
639,90,1
898,42,1
273,1,2
380,124,1
828,38,1
44,120,2
659,135,2
502,65,1
769,148,2
673,29,2
386,31,1
400,74,2
243,13,2
838,105,1
431,139,1
191,125,1
608,57,1
537,71,2
275,56,1
385,24,2
176,58,2
795,116,2
512,44,2
740,19,1
320,148,1
323,73,2
400,132,2
547,26,1
13,41,2
281,119,1
188,5,2
603,149,2
277,5,2
116,122,2
135,147,1
902,13,1
138,131,1
333,17,2
155,99,2
413,136,2
182,133,1
135,90,1
386,27,2
737,23,1
551,98,2
480,121,1
766,44,2
516,87,1
613,47,2
751,13,2
594,137,2
645,67,1
853,63,2
452,92,2
25,131,1
83,89,1
319,62,2
217,129,1
861,139,1
245,110,1
51,14,2
452,74,2
800,104,1
593,97,2
630,74,1
411,140,2
426,26,1
856,124,2
389,111,2
901,25,1
255,58,1
700,36,2
599,78,1
645,130,1
496,52,2
327,24,2
203,36,1
38,7,2
750,54,1
598,112,1
736,137,2
41,57,1
331,101,2
427,119,1
766,56,2
657,50,1
423,52,1
791,48,1
871,136,1
24,72,2
168,17,1
249,64,1
575,15,2
110,23,2
137,13,2
326,140,2
385,141,1
548,135,2
719,78,2
761,104,1
