ID_ASIGNCACION,ID_USUARIO,ID_CURSO,ID_HORARIO,ID_ESTADO
1,783,878,870,2
2,157,842,202,2
3,756,60,27,2
4,34,123,333,1
5,427,12,8,2
6,512,241,979,2
7,150,500,194,2
8,736,557,524,2
9,995,702,501,2
10,678,655,534,2
11,272,509,573,2
12,925,852,509,2
13,132,888,315,2
14,988,50,511,2
15,609,839,569,2
16,203,321,806,2
17,509,591,791,2
18,253,287,453,1
19,810,974,366,1
20,899,420,705,1
21,825,691,855,1
22,852,935,470,1
23,756,212,199,2
24,777,46,40,2
25,951,48,190,2
26,323,910,86,1
27,543,201,802,2
28,186,728,315,2
29,665,470,119,2
30,593,311,250,2
31,604,224,12,2
32,625,813,451,2
33,322,773,635,1
34,27,576,24,1
35,251,526,653,2
36,614,536,343,2
37,963,641,628,1
38,984,93,717,2
39,166,108,730,2
40,671,517,11,1
41,274,218,252,2
42,691,844,97,1
43,694,383,35,1
44,233,690,766,2
45,300,316,211,2
46,967,17,347,1
47,246,611,484,1
48,79,272,629,2
49,264,865,895,1
50,453,785,509,1
51,271,119,884,1
52,890,231,757,2
53,561,456,196,1
54,100,114,599,2
55,215,595,283,1
56,770,731,332,2
57,484,605,572,2
58,334,91,425,1
59,503,105,219,2
60,778,145,934,1
61,761,479,194,1
62,799,452,191,2
63,705,443,415,2
64,518,485,810,2
65,285,734,628,1
66,153,758,727,2
67,982,6,116,1
68,464,671,536,1
69,837,555,181,2
70,209,21,104,2
71,4,344,741,1
72,489,38,709,1
73,778,194,967,2
74,340,613,275,1
75,165,526,744,2
76,466,495,383,2
77,105,69,915,2
78,951,221,770,1
79,708,883,28,2
80,393,302,672,2
81,916,362,267,1
82,381,425,227,1
83,16,814,705,2
84,442,802,323,2
85,158,523,451,1
86,593,65,822,2
87,523,81,329,2
88,449,468,527,2
89,663,662,248,1
90,987,13,431,1
91,10,573,639,2
92,837,369,28,1
93,473,815,716,1
94,702,182,99,2
95,935,58,921,2
96,520,473,682,2
97,646,963,655,1
98,714,242,342,2
99,450,567,350,2
100,780,375,463,2
101,313,617,780,1
102,582,449,816,1
103,436,514,39,1
104,688,267,710,2
105,330,828,358,2
106,889,165,243,2
107,378,517,777,2
108,99,102,515,1
109,430,295,99,1
110,264,855,474,2
111,748,348,592,1
112,475,357,388,1
113,357,105,376,2
114,93,565,1000,2
115,700,506,438,1
116,320,65,764,2
117,506,456,225,1
118,98,869,500,1
119,196,73,214,2
120,603,890,723,1
121,614,348,670,2
122,472,81,392,1
123,252,225,463,1
124,999,842,425,1
125,353,448,666,2
126,253,670,180,1
127,295,559,817,2
128,727,429,281,2
129,489,595,824,1
130,636,345,860,1
