ID_CURSO,ID_HORARIO,ID_AULA,ID_ESTADO
1,1,18,2
2,2,36,1
3,3,42,1
4,4,52,2
5,5,18,1
6,6,19,1
7,7,44,2
8,8,46,1
9,9,22,1
10,10,46,1
11,11,52,1
12,12,33,2
13,13,18,2
14,14,42,2
15,15,29,2
16,16,49,2
17,17,26,1
18,18,5,2
19,19,6,2
20,20,52,2
21,21,47,2
22,22,10,2
23,23,40,1
24,24,50,1
25,25,52,1
26,26,37,1
27,27,31,1
28,28,39,2
29,29,31,2
30,30,2,1
31,31,24,1
32,32,38,2
33,33,38,1
34,34,7,2
35,35,46,1
36,36,53,1
37,37,33,2
38,38,42,2
39,39,18,1
40,40,7,2
41,41,53,1
42,42,14,1
43,43,35,2
44,44,2,1
45,45,47,2
46,46,42,1
47,47,55,1
48,48,11,1
49,49,22,2
50,50,56,1
51,51,15,2
52,52,17,1
53,53,1,2
54,54,49,1
55,55,24,1
56,56,42,1
57,57,7,2
58,58,56,1
59,59,46,2
60,60,28,2
61,61,19,1
62,62,30,2
63,63,33,1
64,64,44,1
65,65,9,1
66,66,2,1
67,67,12,1
68,68,39,2
69,69,55,2
70,70,18,2
71,71,59,1
72,72,23,1
73,73,53,2
74,74,36,2
75,75,56,2
76,76,52,2
77,77,1,2
78,78,50,2
79,79,56,1
80,80,42,2
81,81,14,2
82,82,29,2
83,83,14,2
84,84,46,1
85,85,35,2
86,86,25,1
87,87,34,2
88,88,40,2
89,89,55,2
90,90,44,2
91,91,50,1
92,92,9,2
93,93,58,2
94,94,14,2
95,95,35,1
96,96,53,2
97,97,18,1
98,98,4,2
99,99,56,2
100,100,32,2
101,101,25,1
102,102,5,1
103,103,52,1
104,104,49,1
105,105,48,1
106,106,12,2
107,107,26,2
108,108,59,1
109,109,40,1
110,110,29,1
111,111,56,1
112,112,23,1
113,113,17,1
114,114,2,2
115,115,9,2
116,116,20,1
117,117,26,2
118,118,4,2
119,119,46,2
120,120,45,2
121,121,27,2
122,122,28,1
123,123,48,2
124,124,24,1
125,125,23,2
126,126,2,1
127,127,19,2
128,128,7,1
129,129,30,2
130,130,55,1
131,131,52,1
132,132,13,1
133,133,28,2
134,134,25,2
135,135,49,1
136,136,20,2
137,137,42,2
138,138,48,1
139,139,38,1
140,140,39,2
141,141,26,2
142,142,34,1
143,143,10,1
144,144,19,2
145,145,59,2
146,146,26,1
147,147,33,1
148,148,47,2
149,149,16,2
150,150,33,1
151,151,18,2
152,152,36,1
153,153,13,2
154,154,37,2
155,155,10,2
156,156,24,2
157,157,23,2
158,158,9,1
159,159,37,2
160,160,2,2
161,161,1,1
162,162,15,2
163,163,12,2
164,164,39,2
165,165,38,1
166,166,38,2
167,167,49,1
168,168,31,2
169,169,45,2
170,170,51,2
171,171,58,2
172,172,46,2
173,173,8,2
174,174,14,1
175,175,53,2
176,176,47,2
177,177,20,1
178,178,19,1
179,179,3,2
180,180,9,2
181,181,41,1
182,182,23,2
183,183,32,2
184,184,48,2
185,185,32,1
186,186,6,1
187,187,40,2
188,188,30,1
189,189,56,1
190,190,50,2
191,191,49,1
192,192,23,2
193,193,56,1
194,194,51,2
195,195,15,2
196,196,41,1
197,197,5,1
198,198,59,2
199,199,56,1
200,200,43,2
