ID_HISTORIAL,ID_USUARIO,ID_CURSO,PERIODO,ANNO,OBSERVACIONES,CALIFICACION,ID_ESTADO
1,36,331,FIRST SEMESTER,2016,student arrived late to class,6,2
2,384,823,SUMMER SEMESTER,2011,student arrived late to class,83,1
3,653,287,WINTER SEMESTER,2011,student needed extra help with the lesson,47,2
4,163,802,SECOND SEMESTER,2011,student arrived late to class,10,1
5,190,509,THIRD SEMESTER,2014,student exhibited disruptive behavior,82,2
6,38,872,WINTER SEMESTER,2020,student was absent without notice,24,1
7,900,496,FIRST SEMESTER,2016,student showed improvement in test scores,72,2
8,822,854,SECOND SEMESTER,2010,student completed assignment on time,12,1
9,907,509,SUMMER SEMESTER,2016,student was absent without notice,46,1
10,304,548,WINTER SEMESTER,2017,student worked well in group projects,82,1
11,252,63,WINTER SEMESTER,2002,student needed extra help with the lesson,19,1
12,837,418,WINTER SEMESTER,2004,student participated actively in discussion,41,1
13,684,744,SUMMER SEMESTER,2003,student completed assignment on time,93,2
14,570,581,FIRST SEMESTER,2018,student arrived late to class,28,1
15,203,738,SECOND SEMESTER,2007,student worked well in group projects,83,1
16,159,715,FIRST SEMESTER,2005,student exhibited disruptive behavior,16,2
17,214,119,THIRD SEMESTER,2019,student completed assignment on time,89,1
18,882,148,WINTER SEMESTER,2002,student was absent without notice,85,2
19,174,219,SUMMER SEMESTER,2014,student needed extra help with the lesson,41,2
20,104,205,THIRD SEMESTER,2017,student worked well in group projects,98,1
21,363,796,THIRD SEMESTER,2006,student exhibited disruptive behavior,88,1
22,946,643,SECOND SEMESTER,2013,student completed assignment on time,98,2
23,952,283,SECOND SEMESTER,2006,student was absent without notice,0,2
24,298,209,THIRD SEMESTER,2016,student demonstrated strong understanding of the material,16,2
25,81,828,FIRST SEMESTER,2013,student participated actively in discussion,79,1
26,599,930,SUMMER SEMESTER,2009,student showed improvement in test scores,20,1
27,199,754,SUMMER SEMESTER,2015,student asked insightful questions,42,2
28,867,578,WINTER SEMESTER,2013,student exhibited disruptive behavior,73,1
29,469,377,SUMMER SEMESTER,2003,student arrived late to class,80,2
30,518,580,THIRD SEMESTER,2018,student participated actively in discussion,2,1
31,297,466,SECOND SEMESTER,2008,student demonstrated strong understanding of the material,83,1
32,910,220,THIRD SEMESTER,2009,student showed improvement in test scores,81,2
33,471,98,FIRST SEMESTER,2016,student was absent without notice,8,1
34,253,138,SUMMER SEMESTER,2012,student arrived late to class,49,1
35,680,566,THIRD SEMESTER,2012,student worked well in group projects,58,2
36,61,530,SECOND SEMESTER,2015,student was absent without notice,8,2
37,291,744,SUMMER SEMESTER,2011,student demonstrated strong understanding of the material,51,1
38,700,976,SECOND SEMESTER,2010,student arrived late to class,42,2
39,218,381,WINTER SEMESTER,2015,student arrived late to class,85,2
40,116,590,SUMMER SEMESTER,2014,student exhibited disruptive behavior,35,1
41,961,395,SUMMER SEMESTER,2007,student showed improvement in test scores,80,2
42,898,269,SUMMER SEMESTER,2008,student asked insightful questions,31,1
43,456,318,SECOND SEMESTER,2020,student was absent without notice,21,2
44,176,45,SECOND SEMESTER,2007,student completed assignment on time,93,1
45,724,368,FIRST SEMESTER,2013,student participated actively in discussion,43,2
46,127,8,FIRST SEMESTER,2009,student completed assignment on time,45,1
47,676,561,SUMMER SEMESTER,2019,student needed extra help with the lesson,72,1
48,317,913,SUMMER SEMESTER,2013,student demonstrated strong understanding of the material,22,1
49,646,306,FIRST SEMESTER,2012,student exhibited disruptive behavior,45,2
50,943,627,SECOND SEMESTER,2009,student participated actively in discussion,55,1
51,136,345,THIRD SEMESTER,2016,student demonstrated strong understanding of the material,22,2
52,521,6,FIRST SEMESTER,2013,student worked well in group projects,29,2
53,12,298,SECOND SEMESTER,2012,student exhibited disruptive behavior,25,2
54,541,325,SUMMER SEMESTER,2016,student completed assignment on time,47,2
55,296,267,WINTER SEMESTER,2006,student participated actively in discussion,20,1
56,653,813,SECOND SEMESTER,2010,student exhibited disruptive behavior,55,1
57,507,201,THIRD SEMESTER,2009,student exhibited disruptive behavior,25,2
58,985,497,FIRST SEMESTER,2010,student exhibited disruptive behavior,38,2
59,265,584,WINTER SEMESTER,2021,student worked well in group projects,26,2
60,446,855,WINTER SEMESTER,2015,student needed extra help with the lesson,32,2
