ID_NOTIFICACION,ID_USUARIO,MENSAJE,FECHA_ENVIO,ID_ESTADO
1,11,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,16/03/2025,2
2,777,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,05/03/2025,1
3,519,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,01/09/2025,2
4,275,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,09/10/2025,1
5,253,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,29/03/2025,2
6,798,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,09/10/2025,1
7,600,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,28/04/2025,2
8,61,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,04/06/2025,2
9,420,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,10/09/2025,2
10,306,est donec odio justo sollicitudin ut suscipit a feugiat et,03/11/2025,1
11,273,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,25/05/2025,1
12,819,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,03/10/2025,2
13,399,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,08/07/2025,2
14,837,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,19/06/2025,2
15,310,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,11/11/2025,2
16,771,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,25/09/2025,2
17,977,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,29/06/2025,1
18,432,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,25/06/2025,2
19,475,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,23/09/2025,2
