ID_DISTRITO,DISTRITO
1,Carmen
2,Merced
3,Hospital
4,Catedral
5,Zapote
6,San Francisco de Dos Ríos
7,La Uruca
8,Mata Redonda
9,Pavas
10,Hatillo
11,San Sebastián
12,Escazú
13,San Antonio
14,San Rafael
15,Desamparados
16,San Miguel
17,San Juan de Dios
18,San Rafael Arriba
19,San Rafael Abajo
20,Gravilias
21,Damas
22,Santiago
23,Mercado
24,San Isidro de El General
25,General Viejo
26,Daniel Flores
27,Rivas
28,San Pedro
29,Río Nuevo
30,Páramo
31,Buenavista
32,Pilón
33,Santa Lucía
34,Tinamaste
35,Platanares
36,Pejibaye
37,Cajón
38,Barú
39,Calamar
40,Puriscal
41,Barbacoas
42,Grifo Alto
43,San Rafael
44,Candelarita
45,Desamparaditos
46,San Antonio
47,Chires
48,Santiago de Puriscal
49,San Pablo
50,Santa Marta
51,San Pedro
52,San Rafael de Oreamuno
53,La Unión
54,San José de la Montaña
55,Barva
56,San Pedro de Barva
57,San Pablo
58,San Roque
59,Santa Lucía
60,San Rafael de Barva
61,Paraíso  
62,Santiago  
63,Orosi  
64,Cachí  
65,Llanos de Santa Lucía  
66,San Rafael  
67,San Ramón de Tres Ríos  
68,Patalillo  
69,Dulce Nombre de Cartago  
70,San Isidro de El Guarco  
71,Tierra Blanca  
72,Dulce Nombre de San José  
73,Cervantes  
74,La Suiza  
75,Tucurrique  
76,Pejibaye  
77,Pacayas  
78,San Diego de La Unión  
79,San Juan de Tres Ríos  
80,San Rafael  
81,San Miguel  
82,San Pedro de Poás  
83,San Rafael de Poás  
84,Carrillos  
85,Sabanilla  
86,San Isidro  
87,San José de Alajuela  
88,Sabanilla de Alajuela  
89,San Rafael  
90,San Pedro  
91,Santiago  
92,San Antonio  
93,San Lorenzo  
94,Bebedero  
95,Las Juntas de Abangares  
96,Tilarán  
97,Quebrada Grande  
98,Tierras Morenas  
99,Arenal  
100,San Pablo de Turrubares  
101,San Isidro de Heredia
102,San Francisco de Heredia
103,Barva de Heredia
104,Santo Domingo
105,Santa Bárbara
106,San Rafael de Heredia
107,San José de la Montaña
108,San Vicente
109,San Juan de Santa Bárbara
110,San Miguel de Sarapiquí
111,La Virgen
112,La Danta
113,Puerto Viejo
114,Belén
115,Río Segundo
116,San Isidro de Alajuela
117,San Juan de Alajuela
118,San Rafael de Alajuela
119,Orotina
120,San Mateo
121,Atenas
122,San Antonio de Atenas
123,San Isidro de Atenas
124,Santa Eulalia
125,Puriscal
126,San Pablo de Puriscal
127,Desamparados
128,San Juan de Desamparados
129,San Antonio de Desamparados
130,San Rafael de Desamparados
131,Patarrá
132,Alajuelita
133,San José de Alajuelita
134,Escazú
135,San Antonio de Escazú
136,La Uruca
137,Pavas
138,Zapote
139,Hatillo
140,San Sebastián
141,Escazú
142,San Antonio
143,San Rafael
144,Desamparados
145,San Miguel
146,San Juan de Dios
147,San Rafael Arriba
148,San Rafael Abajo
149,Gravilias
150,Damas
151,Santiago
152,Mercado
153,San Isidro de El General
154,General Viejo
155,Daniel Flores
156,Rivas
157,San Pedro
158,Río Nuevo
159,Páramo
160,Buenavista
161,Pilón
162,Santa Lucía
