ID_CURSO,NOMBRE,CREDITOS,CUPOS,ID_ESTADO
1,Introduction to Psychology,4,22,2
2,Chemistry Lab,4,31,1
3,Computer Science 101,3,16,2
4,Computer Science 101,2,26,1
5,Philosophy of Ethics,3,23,2
6,History of Art,3,25,2
7,Introduction to Psychology,3,26,2
8,Chemistry Lab,2,25,2
9,History of Art,2,24,1
10,Statistics for Business,3,14,2
11,Environmental Studies,3,20,2
12,Introduction to Psychology,2,16,2
13,Literature and Society,2,15,2
14,Literature and Society,2,33,1
15,Environmental Studies,2,26,1
16,Statistics for Business,3,24,2
17,History of Art,3,22,1
18,Philosophy of Ethics,3,15,1
19,Public Speaking,3,35,1
20,Statistics for Business,2,14,1
21,Introduction to Psychology,4,21,2
22,Statistics for Business,2,20,2
23,Literature and Society,2,15,1
24,Music Theory,4,32,1
25,Chemistry Lab,2,17,1
26,Introduction to Psychology,2,14,2
27,Music Theory,3,27,2
28,Music Theory,4,17,1
29,Computer Science 101,2,31,2
30,Introduction to Psychology,4,34,2
31,History of Art,3,23,1
32,Environmental Studies,4,28,2
33,Public Speaking,2,14,1
34,Music Theory,2,23,2
35,Music Theory,3,22,2
36,Chemistry Lab,3,16,1
37,Chemistry Lab,4,31,1
38,Introduction to Psychology,4,16,2
39,Philosophy of Ethics,2,34,2
40,Music Theory,2,18,1
41,Computer Science 101,4,21,1
42,Computer Science 101,2,26,2
43,Philosophy of Ethics,3,21,2
44,History of Art,4,17,2
45,History of Art,3,30,2
46,Public Speaking,2,27,1
47,Literature and Society,4,19,1
48,Environmental Studies,4,26,1
49,Music Theory,3,15,2
50,Environmental Studies,3,31,1
51,Music Theory,3,30,2
52,Literature and Society,4,29,1
53,Music Theory,2,34,1
54,Chemistry Lab,3,27,2
55,Music Theory,2,20,1
56,Environmental Studies,4,19,1
57,Computer Science 101,4,17,1
58,Introduction to Psychology,2,16,1
59,Environmental Studies,2,31,2
60,Philosophy of Ethics,3,29,1
61,History of Art,3,20,1
62,Introduction to Psychology,2,33,1
63,History of Art,2,32,1
64,Music Theory,2,16,1
65,Music Theory,4,35,2
66,Music Theory,2,18,1
67,Literature and Society,2,19,2
68,Music Theory,4,17,1
69,Literature and Society,2,17,2
70,Music Theory,4,23,2
71,History of Art,3,16,2
72,Statistics for Business,2,14,2
73,Computer Science 101,2,15,2
74,Music Theory,4,28,1
75,Music Theory,2,26,1
76,Literature and Society,2,16,2
77,Music Theory,2,25,1
78,Statistics for Business,4,35,1
79,Philosophy of Ethics,4,25,1
80,Chemistry Lab,4,22,2
81,Introduction to Psychology,4,24,2
82,Philosophy of Ethics,3,17,2
83,Philosophy of Ethics,2,26,2
84,Public Speaking,3,16,2
85,Philosophy of Ethics,4,24,1
86,Chemistry Lab,3,18,2
87,Philosophy of Ethics,2,23,1
88,Chemistry Lab,4,22,2
89,History of Art,2,21,1
90,Environmental Studies,3,22,1
91,Statistics for Business,2,16,2
92,Literature and Society,3,26,1
93,Literature and Society,4,35,2
94,Literature and Society,3,24,1
95,Environmental Studies,4,33,2
96,Statistics for Business,4,19,1
97,Music Theory,2,22,1
98,Literature and Society,2,16,2
99,Literature and Society,2,35,1
100,Statistics for Business,3,16,1
101,Public Speaking,2,17,1
102,Environmental Studies,2,28,2
103,Chemistry Lab,3,24,1
104,History of Art,2,35,1
105,Literature and Society,4,28,2
106,Literature and Society,4,20,1
107,Introduction to Psychology,2,25,2
108,Music Theory,3,17,1
109,Statistics for Business,4,29,2
110,Statistics for Business,3,33,2
111,Philosophy of Ethics,2,28,2
112,Public Speaking,3,25,2
113,Literature and Society,4,25,1
114,Literature and Society,3,33,1
115,Literature and Society,3,20,1
116,Philosophy of Ethics,3,17,2
117,Environmental Studies,4,26,1
118,Chemistry Lab,2,31,1
119,Introduction to Psychology,4,16,2
120,Literature and Society,2,34,2
121,Chemistry Lab,4,28,1
122,Public Speaking,4,18,1
123,Computer Science 101,3,33,1
124,History of Art,2,25,2
125,Introduction to Psychology,3,33,1
126,Philosophy of Ethics,4,16,2
127,History of Art,2,26,1
128,Computer Science 101,4,16,2
129,Chemistry Lab,2,24,2
130,Philosophy of Ethics,4,23,1
131,Literature and Society,4,24,1
132,Statistics for Business,4,21,1
133,History of Art,2,27,1
134,History of Art,4,14,1
135,Music Theory,4,25,2
136,Introduction to Psychology,2,14,1
137,Philosophy of Ethics,4,18,2
138,Music Theory,4,16,1
139,Environmental Studies,3,35,2
140,Introduction to Psychology,3,19,2
141,Public Speaking,2,21,1
142,Literature and Society,2,22,2
143,Chemistry Lab,4,26,2
144,Statistics for Business,3,21,1
145,Chemistry Lab,4,17,2
146,Philosophy of Ethics,2,29,1
147,History of Art,4,32,2
148,Music Theory,4,26,1
149,Chemistry Lab,3,20,2
150,Computer Science 101,2,16,2
151,Philosophy of Ethics,3,16,2
152,Introduction to Psychology,2,14,2
153,Statistics for Business,3,15,1
154,History of Art,4,24,1
155,Philosophy of Ethics,4,19,1
156,Literature and Society,2,15,2
157,Computer Science 101,4,28,2
158,Environmental Studies,2,20,1
159,Literature and Society,4,17,1
160,Chemistry Lab,4,22,2
161,Computer Science 101,2,30,2
162,History of Art,2,33,2
163,Statistics for Business,2,19,1
164,Chemistry Lab,3,27,2
165,Statistics for Business,2,15,2
166,Computer Science 101,4,32,2
167,Music Theory,3,27,1
168,Public Speaking,3,27,2
169,Chemistry Lab,2,34,2
170,Introduction to Psychology,4,21,2
171,Introduction to Psychology,4,27,1
172,Chemistry Lab,3,30,1
173,Introduction to Psychology,3,34,2
174,Computer Science 101,2,22,2
175,Introduction to Psychology,2,23,2
176,Philosophy of Ethics,3,20,2
177,Environmental Studies,2,14,2
178,Statistics for Business,2,35,2
179,Public Speaking,3,18,1
180,Chemistry Lab,2,30,1
181,Statistics for Business,2,32,2
182,History of Art,3,17,2
183,Introduction to Psychology,4,27,2
184,Computer Science 101,4,33,2
185,Computer Science 101,4,21,1
186,Literature and Society,3,21,2
187,Public Speaking,2,16,1
188,Music Theory,4,19,1
189,Music Theory,4,16,2
190,Introduction to Psychology,4,21,2
191,Statistics for Business,2,32,1
192,History of Art,4,19,1
193,Environmental Studies,2,30,1
194,Philosophy of Ethics,4,35,2
195,Public Speaking,4,28,2
196,Statistics for Business,2,30,1
197,Statistics for Business,4,28,1
198,History of Art,2,20,2
199,Computer Science 101,3,20,1
200,Public Speaking,2,30,1
201,Computer Science 101,3,20,1
202,Music Theory,4,35,1
203,Literature and Society,2,22,2
204,Statistics for Business,2,14,1
205,Computer Science 101,4,14,2
206,Environmental Studies,3,14,1
207,Statistics for Business,4,33,2
208,Introduction to Psychology,2,27,2
209,Public Speaking,2,28,1
210,History of Art,4,20,1
211,History of Art,3,23,1
212,Philosophy of Ethics,3,30,2
213,Computer Science 101,2,15,2
214,Literature and Society,3,30,2
215,Environmental Studies,3,32,2
216,Introduction to Psychology,4,22,1
217,Statistics for Business,4,35,1
218,Public Speaking,2,33,1
219,Computer Science 101,2,34,2
220,Public Speaking,4,33,1
221,Introduction to Psychology,4,24,1
222,Environmental Studies,2,34,2
223,Chemistry Lab,4,14,2
224,Chemistry Lab,3,26,1
225,Literature and Society,3,29,1
226,Statistics for Business,2,34,1
227,Chemistry Lab,2,15,2
228,History of Art,4,15,1
229,Philosophy of Ethics,3,31,1
230,Environmental Studies,3,30,1
231,Music Theory,4,24,2
232,Chemistry Lab,2,30,2
233,Statistics for Business,2,15,1
234,Computer Science 101,4,15,1
235,Introduction to Psychology,4,35,2
236,Public Speaking,4,35,2
237,Public Speaking,2,15,1
238,Introduction to Psychology,2,28,2
239,Statistics for Business,4,17,2
240,Statistics for Business,4,34,1
241,Environmental Studies,4,31,1
242,Music Theory,4,32,1
243,Statistics for Business,4,30,1
244,Literature and Society,4,28,2
245,Computer Science 101,3,15,1
246,Statistics for Business,3,21,1
247,Statistics for Business,4,26,1
248,Public Speaking,3,26,1
249,Introduction to Psychology,4,26,2
250,Literature and Society,3,23,2
251,History of Art,3,35,1
252,Statistics for Business,4,16,2
253,Public Speaking,3,28,1
254,Statistics for Business,3,19,1
255,Environmental Studies,3,28,2
256,Environmental Studies,3,24,2
257,Chemistry Lab,3,27,1
258,Music Theory,2,15,2
259,Computer Science 101,3,35,2
260,Literature and Society,3,20,2
261,Statistics for Business,3,27,2
262,Literature and Society,2,33,1
263,Statistics for Business,2,33,1
264,Chemistry Lab,2,26,2
265,Environmental Studies,2,20,2
266,Introduction to Psychology,4,27,1
267,Literature and Society,4,31,1
268,Philosophy of Ethics,4,32,1
269,History of Art,3,18,2
270,Environmental Studies,3,32,1
271,History of Art,3,17,2
272,Music Theory,3,25,2
273,Environmental Studies,2,24,2
274,Philosophy of Ethics,4,34,2
275,Computer Science 101,3,28,2
276,History of Art,4,14,1
277,Statistics for Business,3,15,1
278,Environmental Studies,3,28,2
279,Philosophy of Ethics,3,24,2
280,Introduction to Psychology,3,17,2
281,Statistics for Business,3,23,2
282,History of Art,4,14,2
283,Public Speaking,2,24,2
284,Computer Science 101,2,16,1
285,Chemistry Lab,3,29,2
286,Music Theory,4,34,2
287,Statistics for Business,4,15,2
288,Public Speaking,2,16,1
289,Music Theory,3,33,2
290,Philosophy of Ethics,2,27,1
291,Statistics for Business,3,30,1
292,Philosophy of Ethics,3,14,1
293,Literature and Society,4,18,2
294,Computer Science 101,3,35,1
295,History of Art,4,17,1
296,Computer Science 101,4,26,1
297,Statistics for Business,2,33,1
298,Music Theory,2,14,2
299,History of Art,2,25,1
300,Literature and Society,3,18,1
301,Public Speaking,3,22,1
302,Environmental Studies,2,17,2
303,Chemistry Lab,4,32,2
304,Statistics for Business,4,34,2
305,Literature and Society,4,25,2
306,History of Art,3,21,2
307,Music Theory,2,34,1
308,Music Theory,2,19,1
309,Environmental Studies,4,22,1
310,Music Theory,4,32,1
311,Introduction to Psychology,4,30,1
312,Philosophy of Ethics,3,30,1
313,Public Speaking,2,27,1
314,Computer Science 101,4,32,1
315,Music Theory,2,31,2
316,Environmental Studies,4,35,2
317,Literature and Society,3,19,2
318,Music Theory,4,19,1
319,Philosophy of Ethics,3,16,2
320,Statistics for Business,4,32,2
321,Introduction to Psychology,4,31,2
322,Music Theory,2,31,2
323,Computer Science 101,3,25,2
324,Introduction to Psychology,3,25,1
325,History of Art,2,18,1
326,Literature and Society,3,26,1
327,Music Theory,3,19,2
328,Philosophy of Ethics,3,16,1
329,Philosophy of Ethics,4,28,1
330,Public Speaking,3,22,2
331,Introduction to Psychology,2,22,1
332,Music Theory,4,25,2
333,Chemistry Lab,4,22,2
334,Statistics for Business,3,25,2
335,Introduction to Psychology,3,16,2
336,Philosophy of Ethics,2,15,1
337,Literature and Society,3,34,1
338,Chemistry Lab,4,34,1
339,Literature and Society,3,31,2
340,Music Theory,3,17,1
341,Literature and Society,4,30,1
342,Chemistry Lab,2,22,2
343,Introduction to Psychology,2,24,2
344,Environmental Studies,2,31,1
345,Public Speaking,2,31,2
346,Environmental Studies,2,18,2
347,Environmental Studies,3,34,2
348,Environmental Studies,4,24,2
349,Statistics for Business,3,19,2
350,History of Art,3,35,1
351,Statistics for Business,2,30,2
352,Music Theory,2,32,2
353,Chemistry Lab,2,35,2
354,Computer Science 101,4,20,2
355,Music Theory,3,26,1
356,Statistics for Business,4,23,2
357,History of Art,3,33,1
358,Music Theory,3,21,1
359,Chemistry Lab,2,27,2
360,Philosophy of Ethics,2,26,2
361,Philosophy of Ethics,3,27,1
362,Philosophy of Ethics,2,15,2
363,Environmental Studies,2,28,2
364,Music Theory,3,34,2
365,Philosophy of Ethics,2,23,1
366,Environmental Studies,4,22,1
367,Literature and Society,3,33,2
368,Chemistry Lab,3,32,1
369,Computer Science 101,4,29,1
370,Philosophy of Ethics,3,32,1
371,Computer Science 101,2,34,2
372,Literature and Society,3,29,2
373,Literature and Society,3,29,1
374,Philosophy of Ethics,2,29,2
375,Public Speaking,3,19,2
376,Statistics for Business,2,18,2
377,Chemistry Lab,2,25,1
378,Public Speaking,2,27,2
379,Music Theory,3,28,1
380,Statistics for Business,3,22,1
381,Public Speaking,2,27,1
382,Introduction to Psychology,3,28,1
383,Philosophy of Ethics,3,23,2
384,Literature and Society,4,24,2
385,Philosophy of Ethics,3,25,1
386,Environmental Studies,4,24,2
387,Environmental Studies,3,15,2
388,Environmental Studies,3,32,2
389,Philosophy of Ethics,3,14,1
390,Computer Science 101,4,34,1
391,Music Theory,4,33,1
392,Music Theory,4,32,1
393,History of Art,3,18,1
394,Statistics for Business,4,26,2
395,History of Art,2,33,1
396,Environmental Studies,2,34,1
397,Statistics for Business,3,14,2
398,Literature and Society,2,32,2
399,Philosophy of Ethics,4,32,1
400,Computer Science 101,2,21,1
401,Chemistry Lab,2,24,1
402,Chemistry Lab,3,29,2
403,Chemistry Lab,3,25,2
404,History of Art,2,27,1
405,Literature and Society,3,31,2
406,Environmental Studies,2,24,2
407,Introduction to Psychology,3,15,2
408,History of Art,2,28,1
409,Public Speaking,3,17,1
410,Environmental Studies,3,22,1
411,Computer Science 101,2,34,2
412,Chemistry Lab,4,32,2
413,Environmental Studies,4,15,2
414,Introduction to Psychology,2,28,1
415,Chemistry Lab,4,30,1
416,Computer Science 101,3,15,2
417,History of Art,4,22,1
418,Philosophy of Ethics,2,21,2
419,Literature and Society,2,20,1
420,Music Theory,4,30,1
421,Public Speaking,4,20,1
422,Statistics for Business,2,35,1
423,Statistics for Business,3,34,2
