ID_HORARIO,V_DIA_SEMANA,V_TURNO,ID_ESTADO
1,Sábado,Noche,1
2,Miércoles,Mañana,1
3,Viernes,Noche,1
4,Viernes,Mañana,1
5,Miércoles,Tarde,1
6,Miércoles,Mañana,2
7,Sábado,Noche,1
8,Sábado,Mañana,1
9,Martes,Mañana,1
10,Martes,Tarde,2
11,Jueves,Mañana,2
12,Viernes,Noche,1
13,Lunes,Tarde,2
14,Martes,Noche,2
15,Miércoles,Tarde,2
16,Sábado,Tarde,2
17,Jueves,Noche,1
18,Lunes,Tarde,1
19,Jueves,Tarde,1
20,Jueves,Tarde,1
21,Martes,Noche,1
22,Miércoles,Tarde,1
23,Miércoles,Tarde,2
24,Sábado,Mañana,1
25,Jueves,Tarde,1
26,Jueves,Noche,2
27,Viernes,Noche,1
28,Martes,Mañana,1
29,Jueves,Tarde,1
30,Miércoles,Mañana,1
31,Martes,Noche,2
32,Viernes,Tarde,1
33,Jueves,Tarde,1
34,Sábado,Noche,2
35,Jueves,Noche,1
36,Martes,Tarde,1
37,Viernes,Noche,2
38,Miércoles,Noche,2
39,Miércoles,Noche,2
40,Viernes,Tarde,2
41,Lunes,Noche,2
42,Martes,Noche,1
43,Viernes,Mañana,1
44,Miércoles,Mañana,2
45,Viernes,Mañana,2
46,Viernes,Noche,1
47,Sábado,Mañana,2
48,Viernes,Tarde,2
49,Viernes,Mañana,1
50,Miércoles,Tarde,1
51,Jueves,Mañana,1
52,Sábado,Mañana,2
53,Jueves,Mañana,2
54,Jueves,Tarde,2
55,Viernes,Tarde,1
56,Jueves,Tarde,1
57,Lunes,Noche,2
58,Viernes,Tarde,1
59,Viernes,Noche,1
60,Lunes,Mañana,2
61,Lunes,Noche,1
62,Miércoles,Noche,2
63,Viernes,Mañana,1
64,Miércoles,Mañana,2
65,Lunes,Mañana,1
66,Jueves,Noche,2
67,Sábado,Noche,1
68,Lunes,Mañana,2
69,Viernes,Tarde,1
70,Lunes,Tarde,1
71,Martes,Tarde,1
72,Sábado,Mañana,1
73,Sábado,Noche,2
74,Lunes,Tarde,2
75,Sábado,Tarde,2
76,Sábado,Mañana,2
77,Miércoles,Tarde,2
78,Martes,Mañana,2
79,Jueves,Mañana,2
80,Martes,Noche,2
81,Viernes,Mañana,2
82,Jueves,Tarde,2
83,Martes,Tarde,1
84,Martes,Tarde,2
85,Jueves,Mañana,2
86,Sábado,Mañana,1
87,Jueves,Mañana,2
88,Sábado,Tarde,2
89,Lunes,Tarde,1
90,Martes,Tarde,2
91,Lunes,Mañana,2
92,Viernes,Mañana,2
93,Lunes,Noche,1
94,Miércoles,Mañana,2
95,Sábado,Tarde,2
96,Lunes,Noche,2
97,Jueves,Tarde,2
98,Martes,Noche,2
99,Jueves,Mañana,2
100,Jueves,Noche,1
101,Miércoles,Tarde,2
102,Viernes,Noche,2
103,Sábado,Mañana,1
104,Martes,Tarde,1
105,Jueves,Noche,2
106,Jueves,Mañana,1
107,Lunes,Noche,2
108,Martes,Noche,1
109,Lunes,Tarde,1
110,Viernes,Noche,2
111,Miércoles,Mañana,2
112,Miércoles,Tarde,2
113,Jueves,Mañana,1
114,Martes,Noche,1
115,Martes,Mañana,2
116,Viernes,Noche,1
117,Miércoles,Tarde,2
118,Sábado,Tarde,2
119,Miércoles,Tarde,2
120,Viernes,Tarde,1
121,Jueves,Mañana,2
122,Lunes,Noche,2
123,Martes,Tarde,1
124,Miércoles,Noche,2
125,Miércoles,Tarde,1
126,Jueves,Mañana,2
127,Jueves,Noche,1
128,Sábado,Noche,1
129,Sábado,Noche,1
130,Miércoles,Noche,1
131,Jueves,Mañana,1
132,Sábado,Noche,1
133,Lunes,Noche,2
134,Lunes,Tarde,1
135,Sábado,Noche,2
136,Sábado,Mañana,1
137,Martes,Mañana,1
138,Lunes,Mañana,1
139,Sábado,Mañana,2
140,Martes,Tarde,1
141,Jueves,Noche,1
142,Martes,Mañana,1
143,Lunes,Noche,1
144,Jueves,Noche,2
145,Martes,Tarde,1
146,Lunes,Mañana,1
147,Sábado,Tarde,2
148,Lunes,Tarde,2
149,Sábado,Mañana,2
150,Martes,Noche,2
151,Lunes,Noche,1
152,Lunes,Mañana,2
153,Martes,Tarde,2
154,Miércoles,Tarde,2
155,Martes,Tarde,1
156,Jueves,Tarde,1
157,Miércoles,Tarde,1
158,Martes,Tarde,1
159,Jueves,Noche,1
160,Martes,Tarde,2
161,Martes,Tarde,2
162,Miércoles,Noche,1
163,Lunes,Tarde,1
164,Sábado,Mañana,1
165,Miércoles,Noche,1
166,Viernes,Mañana,2
167,Viernes,Mañana,1
168,Miércoles,Mañana,1
169,Sábado,Noche,1
170,Viernes,Tarde,2
171,Martes,Tarde,1
172,Sábado,Mañana,2
173,Jueves,Tarde,1
174,Jueves,Tarde,1
175,Jueves,Tarde,2
176,Lunes,Mañana,1
177,Viernes,Mañana,2
178,Lunes,Noche,1
179,Miércoles,Mañana,1
180,Sábado,Mañana,1
181,Lunes,Noche,1
182,Miércoles,Mañana,1
183,Jueves,Mañana,1
184,Viernes,Mañana,2
185,Martes,Noche,2
186,Lunes,Tarde,2
187,Lunes,Noche,1
188,Sábado,Tarde,1
189,Miércoles,Mañana,2
190,Miércoles,Tarde,2
191,Miércoles,Mañana,2
192,Viernes,Noche,1
193,Sábado,Tarde,2
194,Miércoles,Tarde,1
195,Sábado,Noche,1
196,Jueves,Noche,1
197,Martes,Tarde,2
198,Miércoles,Mañana,2
199,Miércoles,Mañana,1
200,Viernes,Mañana,1
201,Martes,Noche,2
202,Miércoles,Mañana,1
203,Martes,Tarde,2
204,Lunes,Noche,1
205,Jueves,Mañana,1
206,Martes,Mañana,1
207,Lunes,Tarde,2
208,Martes,Noche,2
209,Viernes,Noche,1
210,Miércoles,Tarde,1
211,Viernes,Tarde,1
212,Jueves,Mañana,1
213,Miércoles,Mañana,1
214,Jueves,Mañana,1
215,Miércoles,Tarde,1
216,Viernes,Tarde,2
217,Miércoles,Tarde,1
218,Miércoles,Tarde,2
219,Jueves,Noche,1
220,Lunes,Tarde,1
221,Miércoles,Mañana,1
222,Miércoles,Tarde,1
223,Viernes,Tarde,1
224,Lunes,Noche,2
225,Jueves,Tarde,1
226,Martes,Noche,1
227,Martes,Mañana,1
228,Martes,Noche,1
229,Miércoles,Noche,2
230,Martes,Noche,2
231,Martes,Mañana,1
232,Jueves,Noche,2
233,Jueves,Tarde,2
234,Jueves,Tarde,2
