ID_CURSO,ID_HORARIO,ID_ESTADO
664,739,1
367,575,2
947,297,1
984,687,1
842,416,2
706,646,2
277,519,2
97,81,2
663,191,2
803,181,2
696,286,1
100,587,2
260,190,1
633,716,2
9,544,1
109,614,2
790,468,2
85,842,2
117,820,2
448,922,2
862,809,1
438,573,1
236,249,1
935,190,1
867,479,1
458,642,2
187,214,1
247,746,1
379,819,1
919,43,1
797,461,2
669,790,2
98,468,2
362,143,2
110,337,1
49,320,1
694,594,1
144,35,1
518,628,1
280,26,2
291,662,2
309,693,1
274,637,2
784,761,2
835,761,1
470,276,2
408,810,2
474,148,1
32,683,1
123,998,2
807,988,2
737,337,1
826,541,2
47,469,1
108,651,2
266,185,1
768,54,1
40,547,2
891,206,2
166,668,1
388,283,2
308,331,1
621,980,2
301,741,2
249,483,2
474,30,1
746,669,2
279,20,1
221,562,1
257,664,1
795,469,2
849,428,1
446,191,2
969,308,1
208,534,1
345,588,2
55,664,2
91,666,1
665,384,1
586,888,1
989,824,1
998,689,1
905,951,2
432,225,2
101,259,2
186,413,1
24,907,2
965,740,2
519,913,2
802,177,2
1000,604,1
386,676,1
935,362,1
694,932,2
210,885,2
496,40,2
50,773,1
603,178,1
969,781,2
570,877,1
767,34,2
998,455,1
983,342,2
628,6,2
226,76,2
840,297,1
266,71,2
13,649,2
390,52,2
371,239,2
30,929,1
13,780,2
877,121,2
292,581,1
169,729,1
65,640,2
680,162,1
375,986,2
200,548,2
471,128,1
311,581,2
152,58,1
49,458,1
324,920,1
7,497,2
569,844,1
932,470,1
653,555,1
896,530,1
588,813,2
133,956,1
111,751,2
176,574,1
411,722,1
611,290,1
666,958,1
177,179,2
284,363,1
955,124,1
331,580,2
894,238,1
239,640,2
670,589,1
698,44,1
857,952,2
680,103,2
572,475,1
110,382,2
255,582,2
937,359,2
365,506,1
350,22,2
93,614,1
928,337,2
697,168,1
365,827,1
553,197,1
73,272,1
455,705,2
718,118,1
624,840,2
983,705,1
995,246,2
87,746,1
441,594,2
355,765,1
272,721,1
69,862,2
72,704,2
1,864,2
881,65,1
321,210,2
789,910,1
523,719,1
634,321,2
702,524,2
34,845,1
362,499,2
36,618,2
285,403,2
160,280,2
937,504,1
111,271,2
280,423,2
145,734,2
991,915,2
232,94,1
919,649,2
98,815,2
674,965,2
131,34,2
827,62,1
913,802,2
840,853,2
399,721,1
283,597,2
282,517,2
228,869,2
567,925,1
521,386,2
524,833,2
149,536,1
199,998,2
660,461,1
55,106,2
46,315,2
891,289,1
528,117,1
780,52,2
527,423,1
866,35,2
737,827,1
12,938,2
733,607,1
393,552,2
624,760,2
108,3,1
355,575,1
968,971,2
539,774,2
284,388,1
547,751,1
542,318,1
582,167,2
145,952,1
21,540,1
929,208,1
703,812,1
463,17,2
894,679,2
65,430,1
78,608,2
831,999,1
299,775,2
600,289,2
652,937,2
139,437,2
893,802,1
895,675,2
290,110,1
417,407,2
587,906,2
72,285,2
906,44,1
256,743,2
181,162,1
185,55,2
744,720,1
255,467,2
578,795,1
150,232,2
792,36,1
305,617,2
619,800,2
761,174,1
735,736,2
259,146,2
157,56,1
801,798,2
948,635,2
367,108,2
185,941,2
400,710,1
359,981,1
64,767,2
289,629,1
374,449,2
204,754,2
763,965,2
898,437,2
412,5,2
571,151,2
69,718,2
648,811,2
202,423,2
802,952,2
510,804,2
900,424,1
925,944,2
703,243,1
307,831,2
37,927,1
147,342,2
600,1000,1
450,147,1
169,578,1
304,352,2
810,94,2
246,421,2
305,877,2
743,868,2
481,713,1
274,484,2
691,977,2
228,461,2
831,145,1
318,207,2
674,30,1
341,107,2
9,891,2
894,171,2
154,134,2
736,620,1
470,600,2
418,7,2
710,649,1
690,844,1
552,498,2
755,373,2
546,771,2
733,22,2
917,569,1
87,397,1
819,38,2
853,334,1
352,198,1
674,549,2
444,341,1
860,126,2
623,910,2
936,880,1
241,708,1
169,767,2
899,697,1
71,965,2
577,930,1
634,97,1
109,557,2
199,234,1
843,996,2
832,819,2
228,687,1
348,462,1
235,490,2
771,130,1
925,84,2
168,534,2
787,705,2
617,35,2
402,590,2
505,859,2
802,469,1
504,57,1
525,508,2
843,161,1
454,964,2
74,52,1
52,231,1
356,645,1
11,14,2
966,295,2
88,454,2
122,651,1
717,959,1
608,609,2
611,196,2
388,815,1
63,156,2
846,192,1
519,21,1
975,721,2
163,981,1
166,736,2
443,538,1
605,677,1
952,991,1
558,475,2
683,979,1
540,922,2
791,151,1
30,314,2
215,7,2
876,719,1
334,189,1
98,6,1
135,645,1
23,694,1
110,766,1
379,306,2
256,657,1
773,947,1
567,349,1
724,60,2
760,396,1
465,879,1
497,560,2
97,863,1
721,377,2
10,296,1
177,602,2
325,666,1
679,939,2
273,183,2
90,331,2
810,501,2
968,879,1
308,90,2
990,779,2
223,988,2
790,916,2
942,71,2
746,582,2
275,897,2
220,319,2
600,497,1
605,424,2
292,778,1
631,952,1
622,747,1
5,690,1
235,98,2
344,712,1
710,988,2
936,173,2
361,596,2
946,350,2
986,413,2
631,727,1
519,917,2
46,52,2
962,374,2
370,809,1
11,696,2
156,792,1
995,463,1
302,791,1
186,715,1
754,402,1
3,444,1
335,931,1
212,666,1
510,593,1
62,357,1
235,413,2
185,356,2
869,161,2
129,342,2
682,934,2
108,169,2
543,509,2
870,111,1
482,554,1
354,463,1
264,69,1
441,44,2
61,139,2
476,683,1
922,507,2
203,175,2
650,512,2
247,728,2
996,375,1
622,805,2
460,94,1
250,718,1
544,230,1
380,889,2
435,44,1
303,124,1
797,839,1
578,845,2
817,225,1
454,395,2
764,9,1
107,812,2
236,714,1
442,102,1
261,956,2
619,808,2
752,12,1
601,96,1
416,63,1
628,268,2
577,958,1
984,330,1
344,225,2
119,316,1
818,64,2
336,657,1
424,443,1
222,994,1
924,339,2
395,806,1
695,54,2
50,364,1
504,582,2
206,205,2
152,497,2
683,297,1
527,934,2
403,85,1
755,904,2
211,287,1
8,872,1
603,520,1
121,726,1
96,485,1
699,789,1
162,363,1
939,346,2
221,851,2
792,26,2
851,167,2
537,589,1
825,5,2
806,452,2
670,721,1
116,534,2
999,236,2
321,866,2
800,65,2
394,267,2
495,854,1
579,794,2
784,60,1
760,990,2
357,921,2
743,473,1
144,991,1
686,419,1
350,82,2
875,680,2
203,914,1
374,592,1
99,869,2
331,603,2
46,731,1
233,586,2
294,102,2
540,754,1
442,28,1
708,747,2
315,761,1
60,279,1
778,165,1
610,791,1
328,205,2
596,293,1
133,992,2
661,304,1
795,787,1
461,759,2
228,713,1
636,858,2
971,587,1
401,54,1
188,914,2
540,793,2
81,917,1
702,613,2
704,501,1
568,904,2
200,357,2
731,330,2
474,556,1
407,7,2
863,145,2
970,986,2
391,154,2
870,970,1
621,228,2
725,306,1
742,986,2
17,272,1
877,627,1
60,773,1
283,984,1
895,255,1
667,372,1
37,938,2
536,505,2
71,936,2
92,186,2
875,126,2
693,660,1
438,428,2
514,865,1
853,821,2
335,329,1
42,50,1
478,645,1
625,825,1
29,854,1
294,753,1
664,30,2
898,5,2
486,935,1
973,559,2
336,242,2
334,832,1
434,210,2
396,650,1
445,359,1
470,368,1
638,88,1
213,446,2
484,900,1
343,14,2
960,944,1
775,549,2
256,373,2
225,207,1
737,600,2
706,657,1
99,803,2
577,870,2
643,92,2
824,509,2
278,978,1
734,708,2
429,153,1
441,101,1
311,380,1
104,613,2
992,697,1
506,60,1
504,672,1
648,324,1
337,665,2
753,360,1
235,358,1
50,841,1
126,905,1
550,136,2
431,427,1
644,50,1
838,417,1
851,785,1
653,763,1
81,999,1
995,310,1
236,981,2
206,346,1
868,800,1
366,247,2
758,993,1
597,246,1
628,885,2
982,730,1
708,335,1
711,60,1
830,560,1
699,581,2
314,817,2
871,187,1
452,394,2
262,56,2
578,875,2
650,865,2
397,138,2
204,319,2
245,78,1
275,549,2
447,934,2
885,815,1
428,802,2
359,599,2
51,450,1
516,823,1
505,329,1
758,943,1
716,880,2
759,315,1
704,101,2
582,312,1
329,963,2
63,186,2
51,122,2
226,380,2
825,198,1
588,550,2
291,946,2
95,77,2
346,572,2
404,908,1
475,535,2
845,890,2
368,191,2
104,551,1
801,704,1
329,259,2
676,143,2
914,336,1
146,377,2
114,198,2
76,538,2
723,133,2
817,69,2
469,158,1
128,269,2
159,275,1
68,765,2
938,758,2
583,793,1
340,683,2
351,342,1
81,842,2
825,625,1
119,837,2
145,887,1
910,609,1
45,532,1
877,958,1
762,723,2
215,293,2
21,382,2
3,966,1
308,423,2
