ID_REQUISITO,ID_CURSO,ID_CURSO_REQUISITO,TIPO_RELACION,ID_ESTADO
1,32,822,Requisito,2
2,289,7,Requisito,1
3,418,796,Requisito,2
4,285,600,Requisito,2
5,112,143,Correquisito,1
6,248,558,Requisito,1
7,366,963,Requisito,2
8,629,774,Correquisito,1
9,451,441,Correquisito,2
10,332,911,Correquisito,2
11,417,69,Correquisito,2
12,139,325,Correquisito,1
13,582,152,Correquisito,2
14,121,639,Requisito,1
15,731,708,Correquisito,1
16,707,638,Requisito,2
17,395,522,Correquisito,2
18,354,53,Requisito,1
19,47,543,Requisito,1
20,222,379,Requisito,2
21,486,508,Correquisito,1
22,852,610,Correquisito,1
23,517,660,Correquisito,1
24,731,618,Requisito,2
25,585,908,Requisito,1
26,473,879,Requisito,1
27,801,232,Requisito,1
28,267,256,Requisito,2
29,824,736,Correquisito,2
30,162,985,Requisito,2
31,65,610,Requisito,1
32,385,730,Requisito,2
33,42,787,Correquisito,1
34,907,173,Correquisito,1
35,451,566,Correquisito,2
36,957,67,Correquisito,2
37,898,926,Correquisito,2
38,868,271,Correquisito,1
39,602,326,Correquisito,2
40,34,936,Requisito,1
41,728,374,Correquisito,2
42,21,357,Correquisito,2
43,380,904,Correquisito,2
44,891,858,Correquisito,2
45,575,199,Correquisito,2
46,189,569,Correquisito,1
47,770,952,Requisito,1
48,696,532,Requisito,1
49,437,213,Requisito,1
50,892,705,Correquisito,2
51,934,986,Requisito,2
52,424,435,Correquisito,2
53,357,831,Requisito,1
54,28,730,Requisito,1
55,260,443,Correquisito,2
56,245,460,Correquisito,2
57,525,474,Requisito,2
58,527,141,Requisito,2
59,277,572,Requisito,1
60,833,921,Requisito,1
61,163,879,Requisito,2
62,887,329,Requisito,1
63,468,42,Requisito,1
64,534,146,Requisito,2
65,575,203,Correquisito,2
66,878,692,Correquisito,1
67,428,319,Correquisito,2
68,841,673,Requisito,1
69,484,598,Correquisito,2
70,43,974,Requisito,2
71,964,958,Correquisito,2
72,574,176,Correquisito,1
73,819,427,Correquisito,2
74,888,641,Requisito,1
75,168,572,Correquisito,1
76,827,981,Correquisito,1
77,804,397,Correquisito,2
78,333,133,Correquisito,2
79,583,604,Requisito,2
80,657,584,Requisito,2
81,130,289,Correquisito,2
82,587,92,Correquisito,2
83,670,346,Requisito,2
84,335,617,Correquisito,1
85,368,820,Correquisito,2
86,119,258,Correquisito,1
87,326,298,Requisito,1
88,855,303,Correquisito,1
89,962,303,Requisito,2
90,493,326,Requisito,2
91,969,955,Requisito,1
92,687,392,Requisito,2
93,558,31,Correquisito,2
94,498,615,Requisito,1
95,5,905,Requisito,1
96,425,465,Correquisito,2
97,459,419,Correquisito,1
98,834,200,Requisito,1
99,163,127,Requisito,1
100,913,719,Correquisito,2
101,408,39,Requisito,2
102,157,98,Correquisito,1
103,785,799,Correquisito,1
104,887,381,Requisito,2
105,188,830,Correquisito,1
106,656,932,Correquisito,2
107,692,924,Requisito,2
108,346,455,Correquisito,2
109,631,471,Requisito,1
110,314,725,Correquisito,1
111,275,964,Requisito,1
112,672,959,Requisito,2
113,674,134,Requisito,1
114,530,276,Correquisito,1
115,256,40,Correquisito,2
116,504,998,Correquisito,1
117,594,344,Correquisito,2
118,777,580,Requisito,1
119,833,483,Correquisito,2
120,165,316,Requisito,2
121,109,655,Correquisito,1
122,656,48,Requisito,1
123,355,194,Correquisito,1
124,564,524,Requisito,2
125,99,630,Requisito,2
126,531,762,Correquisito,1
127,284,288,Requisito,2
128,48,812,Requisito,1
129,995,953,Requisito,1
130,1,406,Requisito,2
131,418,430,Requisito,1
132,926,653,Correquisito,1
133,9,140,Correquisito,1
134,758,200,Requisito,2
135,19,231,Requisito,2
136,745,13,Correquisito,1
137,153,536,Requisito,2
138,493,119,Correquisito,1
139,322,342,Requisito,2
140,710,773,Correquisito,2
141,567,189,Requisito,1
142,317,724,Requisito,1
143,934,249,Requisito,1
144,648,927,Correquisito,2
145,80,763,Correquisito,2
146,414,13,Correquisito,1
147,572,799,Correquisito,1
148,242,559,Correquisito,1
149,641,568,Correquisito,1
150,280,497,Requisito,2
151,351,788,Correquisito,1
152,847,81,Requisito,2
153,714,111,Requisito,1
154,189,787,Requisito,1
155,579,965,Requisito,2
156,528,987,Requisito,2
157,455,936,Correquisito,1
158,948,363,Correquisito,2
159,785,148,Requisito,2
160,811,30,Correquisito,2
161,103,523,Requisito,2
162,997,166,Correquisito,1
163,208,674,Correquisito,2
164,229,77,Requisito,1
165,618,335,Requisito,2
166,423,863,Correquisito,2
167,586,613,Requisito,2
168,525,575,Correquisito,1
169,726,771,Correquisito,2
170,308,716,Correquisito,1
171,732,861,Requisito,2
172,935,940,Requisito,2
173,65,200,Correquisito,2
174,951,723,Requisito,1
175,795,985,Requisito,2
176,179,990,Correquisito,2
177,53,647,Requisito,2
178,564,357,Correquisito,2
179,662,380,Requisito,1
180,394,186,Requisito,2
181,344,91,Correquisito,1
182,728,654,Requisito,2
183,410,335,Correquisito,2
184,875,559,Correquisito,2
185,37,25,Correquisito,2
186,251,182,Correquisito,2
187,846,926,Requisito,2
188,976,569,Correquisito,2
189,551,976,Correquisito,2
190,56,246,Requisito,1
191,842,201,Requisito,2
192,278,713,Requisito,2
193,615,733,Requisito,1
194,124,421,Correquisito,1
195,416,325,Correquisito,2
196,525,789,Requisito,1
197,44,477,Correquisito,2
198,514,233,Requisito,1
199,279,30,Correquisito,1
200,866,464,Correquisito,1
201,862,964,Requisito,2
202,23,834,Requisito,2
203,262,128,Correquisito,1
204,95,135,Requisito,1
205,882,677,Requisito,1
206,963,811,Requisito,2
207,873,743,Requisito,2
208,280,846,Correquisito,2
209,181,136,Correquisito,1
210,26,240,Requisito,2
211,111,92,Correquisito,2
212,234,235,Requisito,2
213,400,565,Requisito,1
214,486,305,Correquisito,1
215,161,700,Requisito,1
216,880,348,Requisito,2
217,781,183,Correquisito,2
218,532,481,Requisito,1
219,427,743,Correquisito,2
220,778,514,Requisito,2
221,426,579,Requisito,2
222,408,535,Correquisito,2
223,643,924,Correquisito,1
224,780,142,Requisito,1
225,696,691,Correquisito,1
226,118,258,Requisito,2
227,446,826,Correquisito,2
228,45,868,Correquisito,1
229,250,688,Correquisito,1
230,726,927,Requisito,1
231,15,376,Requisito,2
232,490,641,Correquisito,1
233,929,460,Correquisito,2
234,135,21,Requisito,2
235,165,530,Correquisito,1
236,554,565,Correquisito,1
237,115,281,Requisito,1
238,633,370,Correquisito,1
239,83,236,Requisito,1
240,42,685,Requisito,2
241,354,551,Correquisito,2
